0,240,33,72,45.8,5,9,55.6,12,21,57.1,9,30,39,18,9,4,22,18
1,240,43,92,46.7,11,36,30.6,17,18,94.4,13,38,51,19,7,5,10,26
1,239,44,92,47.8,8,23,34.8,12,16,75.0,18,26,44,22,8,4,8,16
1,240,38,76,50.0,5,11,45.5,32,39,82.1,8,33,41,27,17,10,11,27
0,240,39,81,48.1,5,15,33.3,20,27,74.1,12,25,37,25,8,1,16,25
1,240,50,98,51.0,8,20,40.0,18,23,78.3,13,27,40,28,11,5,10,16
1,241,33,77,42.9,5,21,23.8,21,34,61.8,8,33,41,16,9,1,14,17
1,239,32,69,46.4,0,6,0.0,13,18,72.2,10,30,40,21,7,10,19,23
0,240,40,84,47.6,6,10,60.0,17,20,85.0,12,28,40,19,8,5,19,21
1,240,34,74,45.9,7,18,38.9,40,50,80.0,12,36,48,21,12,1,21,25
1,240,30,68,44.1,9,19,47.4,15,23,65.2,10,34,44,17,4,6,15,23
1,241,41,81,50.6,5,11,45.5,18,24,75.0,9,25,34,22,4,4,7,14
1,241,43,76,56.6,4,8,50.0,28,32,87.5,10,32,42,26,10,8,12,22
1,240,43,88,48.9,2,9,22.2,22,28,78.6,12,43,55,24,10,6,10,27
1,240,45,83,54.2,11,29,37.9,11,17,64.7,7,33,40,31,13,10,13,15
1,240,40,91,44.0,6,19,31.6,32,34,94.1,7,46,53,21,10,4,12,29
0,241,38,81,46.9,9,31,29.0,22,24,91.7,6,32,38,25,8,3,10,25
0,241,35,83,42.2,3,13,23.1,21,28,75.0,16,30,46,17,5,3,15,26
0,242,30,72,41.7,9,24,37.5,11,16,68.8,8,27,35,15,3,3,14,14
0,240,35,86,40.7,5,14,35.7,17,20,85.0,13,27,40,10,9,7,12,27
0,241,37,77,48.1,5,16,31.3,7,13,53.8,8,32,40,19,13,5,16,20
1,238,37,73,50.7,6,10,60.0,19,27,70.4,5,30,35,25,9,5,9,28
0,240,31,71,43.7,2,9,22.2,22,26,84.6,5,32,37,15,0,0,14,29
1,241,40,87,46.0,17,43,39.5,20,26,76.9,11,31,42,23,5,6,12,26
1,240,37,78,47.4,8,26,30.8,23,28,82.1,7,32,39,21,10,4,12,11
1,239,41,92,44.6,9,36,25.0,13,19,68.4,13,39,52,22,9,5,10,22
1,240,38,75,50.7,10,31,32.3,14,23,60.9,9,27,36,26,6,3,11,16
0,265,38,93,40.9,3,21,14.3,16,26,61.5,13,31,44,20,15,4,20,24
0,240,27,71,38.0,5,14,35.7,15,27,55.6,14,22,36,21,9,3,20,32
1,265,39,86,45.3,4,13,30.8,23,35,65.7,12,45,57,21,6,12,19,23
0,239,35,80,43.8,9,30,30.0,17,19,89.5,8,31,39,19,8,1,19,19
1,240,40,87,46.0,14,30,46.7,19,26,73.1,13,28,41,28,11,3,11,21
1,240,39,91,42.9,8,24,33.3,24,32,75.0,23,42,65,19,9,7,19,25
1,240,35,84,41.7,9,22,40.9,19,21,90.5,14,39,53,21,5,6,10,19
0,239,42,82,51.2,11,27,40.7,13,19,68.4,6,29,35,24,8,3,18,18
1,243,47,87,54.0,11,25,44.0,17,22,77.3,11,36,47,31,10,5,15,17
1,240,29,67,43.3,7,19,36.8,25,28,89.3,7,38,45,15,1,7,9,21
1,241,42,88,47.7,3,13,23.1,10,14,71.4,16,28,44,18,7,3,13,17
0,264,39,100,39.0,7,23,30.4,24,28,85.7,17,39,56,18,9,7,19,27
0,266,35,79,44.3,5,14,35.7,15,19,78.9,7,30,37,21,10,2,13,20
1,241,44,87,50.6,4,15,26.7,16,18,88.9,16,20,36,21,9,3,13,26
0,241,38,70,54.3,10,29,34.5,21,30,70.0,10,26,36,23,8,6,19,16
0,264,37,97,38.1,7,22,31.8,19,24,79.2,16,30,46,18,14,7,12,21
0,240,34,80,42.5,4,8,50.0,9,16,56.3,8,24,32,18,9,1,13,25
1,239,44,86,51.2,11,27,40.7,19,27,70.4,10,36,46,27,7,5,12,24
0,240,29,67,43.3,7,23,30.4,24,30,80.0,5,27,32,19,8,2,10,17
1,239,30,77,39.0,5,13,38.5,15,19,78.9,11,33,44,23,4,4,12,16
1,241,35,73,47.9,3,12,25.0,15,21,71.4,8,33,41,21,7,7,12,19
0,240,35,76,46.1,10,23,43.5,17,19,89.5,8,28,36,21,5,2,18,21
1,239,37,76,48.7,4,14,28.6,18,25,72.0,7,35,42,14,6,6,16,19
0,240,31,85,36.5,4,16,25.0,18,20,90.0,15,25,40,16,7,0,18,19
0,240,39,83,47.0,2,9,22.2,17,22,77.3,11,20,31,20,6,5,19,24
0,240,37,95,38.9,13,31,41.9,16,28,57.1,13,35,48,23,10,4,14,21
1,239,40,81,49.4,8,25,32.0,24,29,82.8,8,33,41,25,13,3,13,13
1,239,34,70,48.6,7,15,46.7,26,28,92.9,6,24,30,23,10,4,15,18
1,240,44,88,50.0,7,16,43.8,11,19,57.9,9,38,47,27,7,6,11,22
0,240,36,84,42.9,10,15,66.7,9,11,81.8,13,25,38,23,7,2,14,28
0,241,32,84,38.1,4,17,23.5,10,15,66.7,7,33,40,24,6,2,7,19
1,266,42,91,46.2,11,21,52.4,14,18,77.8,14,32,46,17,9,3,15,14
0,240,45,88,51.1,9,28,32.1,11,15,73.3,16,27,43,19,3,1,13,26
1,241,44,75,58.7,3,11,27.3,24,33,72.7,8,34,42,24,6,2,12,27
0,240,30,92,32.6,1,9,11.1,19,27,70.4,16,39,55,19,7,10,12,22
0,240,28,83,33.7,5,13,38.5,10,18,55.6,10,30,40,13,7,10,13,22
0,241,38,70,54.3,3,12,25.0,11,14,78.6,6,33,39,23,10,5,23,14
